Fecha;mes;feriado;dia_semana;previo_feriado;sandwich;fds_largo;dia previo fds largo;dias_despues_feriado_largo
01-01-2015;1;1;4;0;0;4;0;0
02-01-2015;1;0;5;0;1;4;0;0
03-01-2015;1;0;6;0;0;4;0;0
04-01-2015;1;0;7;0;0;4;0;0
05-01-2015;1;0;1;0;0;0;0;1
06-01-2015;1;0;2;0;0;0;0;2
07-01-2015;1;0;3;0;0;0;0;0
08-01-2015;1;0;4;0;0;0;0;0
09-01-2015;1;0;5;0;0;0;0;0
10-01-2015;1;0;6;0;0;2;0;0
11-01-2015;1;0;7;0;0;2;0;0
12-01-2015;1;0;1;0;0;0;0;0
13-01-2015;1;0;2;0;0;0;0;0
14-01-2015;1;0;3;0;0;0;0;0
15-01-2015;1;0;4;0;0;0;0;0
16-01-2015;1;0;5;0;0;0;0;0
17-01-2015;1;0;6;0;0;2;0;0
18-01-2015;1;0;7;0;0;2;0;0
19-01-2015;1;0;1;0;0;0;0;0
20-01-2015;1;0;2;0;0;0;0;0
21-01-2015;1;0;3;0;0;0;0;0
22-01-2015;1;0;4;0;0;0;0;0
23-01-2015;1;0;5;0;0;0;0;0
24-01-2015;1;0;6;0;0;2;0;0
25-01-2015;1;0;7;0;0;2;0;0
26-01-2015;1;0;1;0;0;0;0;0
27-01-2015;1;0;2;0;0;0;0;0
28-01-2015;1;0;3;0;0;0;0;0
29-01-2015;1;0;4;0;0;0;0;0
30-01-2015;1;0;5;0;0;0;0;0
31-01-2015;1;0;6;0;0;2;0;0
01-02-2015;2;0;7;0;0;2;0;0
02-02-2015;2;0;1;0;0;0;0;0
03-02-2015;2;0;2;0;0;0;0;0
04-02-2015;2;0;3;0;0;0;0;0
05-02-2015;2;0;4;0;0;0;0;0
06-02-2015;2;0;5;0;0;0;0;0
07-02-2015;2;0;6;0;0;2;0;0
08-02-2015;2;0;7;0;0;2;0;0
09-02-2015;2;0;1;0;0;0;0;0
10-02-2015;2;0;2;0;0;0;0;0
11-02-2015;2;0;3;0;0;0;0;0
12-02-2015;2;0;4;0;0;0;0;0
13-02-2015;2;0;5;0;0;0;0;0
14-02-2015;2;0;6;0;0;2;0;0
15-02-2015;2;0;7;0;0;2;0;0
16-02-2015;2;0;1;0;0;0;0;0
17-02-2015;2;0;2;0;0;0;0;0
18-02-2015;2;0;3;0;0;0;0;0
19-02-2015;2;0;4;0;0;0;0;0
20-02-2015;2;0;5;0;0;0;0;0
21-02-2015;2;0;6;0;0;2;0;0
22-02-2015;2;0;7;0;0;2;0;0
23-02-2015;2;0;1;0;0;0;0;0
24-02-2015;2;0;2;0;0;0;0;0
25-02-2015;2;0;3;0;0;0;0;0
26-02-2015;2;0;4;0;0;0;0;0
27-02-2015;2;0;5;0;0;0;0;0
28-02-2015;2;0;6;0;0;2;0;0
01-03-2015;3;0;7;0;0;2;0;0
02-03-2015;3;0;1;0;0;0;0;0
03-03-2015;3;0;2;0;0;0;0;0
04-03-2015;3;0;3;0;0;0;0;0
05-03-2015;3;0;4;0;0;0;0;0
06-03-2015;3;0;5;0;0;0;0;0
07-03-2015;3;0;6;0;0;2;0;0
08-03-2015;3;0;7;0;0;2;0;0
09-03-2015;3;0;1;0;0;0;0;0
10-03-2015;3;0;2;0;0;0;0;0
11-03-2015;3;0;3;0;0;0;0;0
12-03-2015;3;0;4;0;0;0;0;0
13-03-2015;3;0;5;0;0;0;0;0
14-03-2015;3;0;6;0;0;2;0;0
15-03-2015;3;0;7;0;0;2;0;0
16-03-2015;3;0;1;0;0;0;0;0
17-03-2015;3;0;2;0;0;0;0;0
18-03-2015;3;0;3;0;0;0;0;0
19-03-2015;3;0;4;0;0;0;0;0
20-03-2015;3;0;5;0;0;0;0;0
21-03-2015;3;0;6;0;0;2;0;0
22-03-2015;3;0;7;0;0;2;0;0
23-03-2015;3;0;1;0;0;0;0;0
24-03-2015;3;0;2;0;0;0;0;0
25-03-2015;3;0;3;0;0;0;0;0
26-03-2015;3;0;4;0;0;0;0;0
27-03-2015;3;0;5;0;0;0;0;0
28-03-2015;3;0;6;0;0;2;0;0
29-03-2015;3;0;7;0;0;2;0;0
30-03-2015;3;0;1;0;0;0;0;0
31-03-2015;3;0;2;0;0;0;0;0
01-04-2015;4;0;3;0;0;0;0;0
02-04-2015;4;0;4;1;0;0;3;0
03-04-2015;4;1;5;1;0;3;0;0
04-04-2015;4;1;6;0;0;3;0;0
05-04-2015;4;0;7;0;0;3;0;0
06-04-2015;4;0;1;0;0;0;0;0
